               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091036,            0.037467,            0.027738,             0.25919,             0.28292,             0.17544,            0.073035,                 nan,                 nan,                 nan,              0.0704,           0.0032889,           0.0032889
                   1,            0.061547,            0.031521,            0.023361,             0.29674,             0.33749,             0.23194,             0.10267,                 nan,                 nan,                 nan,            0.040334,           0.0065567,           0.0065567
                   2,            0.056577,            0.028947,            0.018638,             0.37934,             0.40982,             0.32273,             0.17254,                 nan,                 nan,                 nan,            0.010203,           0.0097584,           0.0097584
                   3,            0.050003,            0.027337,            0.018231,             0.53161,             0.44149,             0.44651,              0.2537,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                   4,            0.045248,            0.026671,            0.018288,             0.37218,             0.45144,             0.32346,             0.17029,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                   5,            0.043946,            0.026333,            0.016194,             0.57591,             0.50012,             0.52913,             0.31368,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                   6,            0.040954,            0.026529,            0.015278,             0.42006,              0.5328,             0.39663,             0.25235,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   7,            0.038006,            0.025699,            0.013702,             0.58257,             0.47775,             0.50964,             0.29849,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   8,            0.036015,             0.02577,            0.014138,             0.47147,             0.43485,              0.4022,             0.25468,                 nan,                 nan,                 nan,            0.009307,            0.009307,            0.009307
                   9,            0.036427,            0.026424,             0.01428,             0.51485,             0.50041,              0.4539,             0.27833,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  10,            0.035473,            0.024628,            0.012038,             0.65533,             0.52387,              0.5519,              0.3575,                 nan,                 nan,                 nan,            0.009109,            0.009109,            0.009109
                  11,            0.034381,            0.024922,            0.012208,             0.51602,             0.50839,             0.46611,             0.26745,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  12,            0.033762,            0.024568,            0.012643,             0.51957,             0.53062,             0.49423,             0.32076,                 nan,                 nan,                 nan,            0.008911,            0.008911,            0.008911
                  13,            0.031096,             0.02284,            0.010935,             0.55315,             0.47595,              0.5087,             0.31609,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
